client,place,date,amount
Lael Hopkins,Singapore,17/45/2023,$29.14
Nigel Rowe,Nigeria,6/57/2023,$252.79
Austin Cherry,Ireland,26/51/2023,$406.37
Amena Bryan,Austria,2/53/2023,$324.70
Mallory Snyder,Australia,7/23/2023,$404.87
Sigourney Osborne,Vietnam,24/58/2022,$689.56
Zahir Levy,United Kingdom,22/0/2022,$801.85
Kylan Perkins,Sweden,25/3/2022,$68.39
Barclay Rojas,New Zealand,4/18/2023,$685.93
Elijah Serrano,Norway,10/24/2022,$779.97
Katell Best,United Kingdom,22/45/2022,$453.81
Neil Langley,New Zealand,17/38/2022,$753.10
Ivana Winters,South Africa,15/12/2022,$584.17
Daquan Vaughn,Germany,4/10/2024,$33.59
Akeem Estes,Singapore,3/26/2022,$364.07
Hamilton Dickerson,Brazil,19/45/2023,$134.79
Merrill Jefferson,Italy,8/49/2023,$385.88
Kai Bradford,China,19/50/2023,$702.12
Hashim Howard,Mexico,5/55/2023,$575.05
Cyrus Roy,Ireland,11/55/2023,$519.76
Ciaran Weber,Belgium,1/32/2023,$643.00
Kareem Byrd,United States,13/19/2022,$893.04
Arsenio Wade,Russian Federation,14/12/2023,$207.95
Tanner Vaughn,Canada,26/56/2023,$345.64
Carlos Maxwell,Indonesia,6/38/2023,$808.73
Halee Velazquez,Turkey,4/35/2022,$227.34
Madeline Merritt,Singapore,30/6/2022,$167.25
Briar Holt,Germany,12/19/2022,$817.41
Barbara Harper,United States,18/56/2023,$308.34
Baker Reid,Mexico,15/46/2022,$777.69
Victor Guy,France,28/30/2023,$620.21
Joan Nielsen,India,7/31/2022,$457.71
Jerome Sherman,France,2/22/2023,$563.73
Montana Contreras,Chile,11/17/2023,$893.90
Melyssa Rose,Mexico,26/7/2022,$635.94
Brittany Berger,India,23/55/2023,$875.01
Libby Butler,Peru,28/32/2022,$783.17
Leigh Everett,Russian Federation,2/50/2022,$285.97
Kelly Cobb,Russian Federation,20/30/2022,$453.90
Gil Dominguez,Netherlands,21/1/2022,$882.55
Judith Mcdaniel,South Korea,18/29/2022,$187.42
Brady Burns,Singapore,27/26/2022,$502.78
Kalia Lindsay,Colombia,23/31/2023,$449.29
Doris Cleveland,Ukraine,25/35/2023,$246.59
Imogene Clements,China,22/16/2023,$174.62
Nathan Curtis,Philippines,6/52/2022,$561.04
Maggy Davidson,Mexico,18/39/2023,$358.76
Dacey Dunlap,Italy,18/23/2023,$681.79
Timothy Morgan,Italy,28/26/2023,$786.91
Clinton Clements,Sweden,11/57/2022,$42.30
Pandora Blair,Russian Federation,30/33/2023,$632.28
Gray Franks,South Africa,19/36/2023,$513.81
Kai Dodson,Costa Rica,13/20/2023,$288.74
Cairo Fletcher,Mexico,16/35/2023,$744.41
Calvin Nichols,Russian Federation,31/15/2022,$873.99
Cleo Reyes,United Kingdom,24/12/2022,$354.82
Preston Fletcher,Norway,12/4/2022,$230.27
